Date,Dow_Jones_Index,S&P_500_Index,Nasdaq
2/3/2020,28399.81,3248.92,9273.4
2/4/2020,28807.63,3297.59,9467.97
2/5/2020,29290.85,3334.69,9508.68
2/6/2020,29379.77,3345.78,9572.15
2/7/2020,29102.51,3327.71,9520.51
2/10/2020,29276.82,3352.09,9628.39
2/11/2020,29276.34,3357.75,9638.94
2/12/2020,29551.42,3379.45,9725.96
2/13/2020,29423.31,3373.94,9711.97
2/14/2020,29398.08,3380.16,9731.18
2/18/2020,29232.19,3370.29,9732.74
2/19/2020,29348.03,3386.15,9817.18
2/20/2020,29219.98,3373.23,9750.97
2/21/2020,28992.41,3337.75,9576.59
2/24/2020,27960.8,3225.89,9221.28
2/25/2020,27081.36,3128.21,8965.61
2/26/2020,26957.59,3116.39,8980.78
2/27/2020,25766.64,2978.76,8566.48
2/28/2020,25409.36,2954.22,8567.37
3/2/2020,26703.32,3090.23,8952.17
3/3/2020,25917.41,3003.37,8684.09
3/4/2020,27090.86,3130.12,9018.09
3/5/2020,26121.28,3023.94,8738.59
3/6/2020,25864.78,2972.37,8575.62
3/9/2020,23851.02,2746.56,7950.68
3/10/2020,25018.16,2882.23,8344.25
3/11/2020,23553.22,2741.38,7952.05
3/12/2020,21200.62,2480.64,7201.8
3/13/2020,23185.62,2711.02,7874.88
3/16/2020,20188.52,2386.13,6904.59
3/17/2020,21237.38,2529.19,7334.78
3/18/2020,19898.92,2398.1,6989.84
3/19/2020,20087.19,2409.39,7150.58
3/20/2020,19173.98,2304.92,6879.52
3/23/2020,18591.93,2237.4,6860.67
3/24/2020,20704.91,2447.33,7417.86
3/25/2020,21200.55,2475.56,7384.3
3/26/2020,22552.17,2630.07,7797.54
3/27/2020,21636.78,2541.47,7502.38
3/30/2020,22327.48,2626.65,7774.15
3/31/2020,21917.16,2584.59,7700.1
4/1/2020,20943.51,2470.5,7360.58
4/2/2020,21413.44,2526.9,7487.31
4/3/2020,21052.53,2488.65,7373.08
4/6/2020,22679.99,2663.68,7913.24
4/7/2020,22653.86,2659.41,7887.26
4/8/2020,23433.57,2749.98,8090.9
4/9/2020,23719.37,2789.82,8153.58
4/13/2020,23390.77,2761.63,8192.42
4/14/2020,23949.76,2846.06,8515.74
4/15/2020,23504.35,2783.36,8393.18
4/16/2020,23537.68,2799.55,8532.36
4/17/2020,24242.49,2874.56,8650.14
4/20/2020,23650.44,2823.16,8560.73
4/21/2020,23018.88,2736.56,8263.23
4/22/2020,23475.82,2799.31,8495.38
4/23/2020,23515.26,2797.8,8494.75
4/24/2020,23775.27,2836.74,8634.52
4/27/2020,24133.78,2878.48,8730.16
4/28/2020,24101.55,2863.39,8607.73
4/29/2020,24633.86,2939.51,8914.71
4/30/2020,24345.72,2912.43,8889.55
5/1/2020,23723.69,2830.71,8604.95
5/4/2020,23749.76,2842.74,8710.72
5/5/2020,23883.09,2868.44,8809.12
